Subfolder,Number of Pages,Ground Truth File,Accuracy,Precision,Recall,F1 Score,OCR File
Chapter90,4,Chapter90.txt,0.328434974283615,0.6298843429117912,0.328434974283615,0.4087167973774331,Chapter90.txt
Chapter9,11,Chapter9.txt,0.1506051098162259,0.5960058645155394,0.1506051098162259,0.21762189140589683,Chapter9.txt
Chapter60,5,Chapter60.txt,0.0017055144968732233,0.007106310403638431,0.0017055144968732233,0.0025866969869243893,Chapter60.txt
Chapter89,5,Chapter89.txt,0.000564334085778781,4.341031429067547e-05,0.000564334085778781,8.061915511125443e-05,Chapter89.txt
Chapter27,6,Chapter27.txt,0.21551300932744233,0.5931102525358785,0.21551300932744233,0.2909297114701139,Chapter27.txt
Chapter76,4,Chapter76.txt,0.34615384615384615,0.6693059910695932,0.34615384615384615,0.4303449532207541,Chapter76.txt
Chapter88,4,Chapter88.txt,0.3271523178807947,0.6399474799034324,0.3271523178807947,0.4097713312676052,Chapter88.txt
Chapter79,4,Chapter79.txt,0.3563696919233972,0.6231212075815826,0.3563696919233972,0.4338955487435351,Chapter79.txt
Chapter10,5,Chapter10.txt,0.007743933918430563,0.04169208867195444,0.007743933918430563,0.011505041164308073,Chapter10.txt
Chapter93,6,Chapter93.txt,0.22256774766770324,0.47615213111805665,0.22256774766770324,0.28329159540499366,Chapter93.txt
Chapter22,6,Chapter22.txt,0.2587316176470588,0.6070827586871952,0.2587316176470588,0.3412497329089238,Chapter22.txt
Chapter17,7,Chapter17.txt,0.0006901311249137336,0.0018797857307174077,0.0006901311249137336,0.0006136677332329506,Chapter17.txt
Chapter74,6,Chapter74.txt,0.25282277859597446,0.6571497021870986,0.25282277859597446,0.3408516313211796,Chapter74.txt
Chapter35,8,Chapter35.txt,0.0025196850393700786,0.01531058617672791,0.0025196850393700786,0.00385442970071219,Chapter35.txt
Chapter129,3,Chapter129.txt,0.16351744186046513,0.2056048961340714,0.16351744186046513,0.16025038009357032,Chapter129.txt
Chapter83,3,Chapter83.txt,0.6151631477927063,0.7439825443429396,0.6151631477927063,0.6634321844346908,Chapter83.txt
Chapter78,6,Chapter78.txt,0.2536443148688047,0.633529551772711,0.2536443148688047,0.3355368725565817,Chapter78.txt
Chapter87,15,Chapter87.txt,0.0,0.0,0.0,0.0,Chapter87.txt
Chapter105,6,Chapter105.txt,0.0,0.0,0.0,0.0,Chapter105.txt
Chapter108,6,Chapter108.txt,0.25586642599277976,0.63425176061816,0.25586642599277976,0.34145216972487347,Chapter108.txt
Chapter57,4,Chapter57.txt,0.399057344854674,0.6075356974402767,0.399057344854674,0.46456277058138207,Chapter57.txt
Chapter37,2,Chapter37.txt,0.0015220700152207,0.0015349689136547739,0.0015220700152207,0.0010400811770674785,Chapter37.txt
Chapter54,24,Chapter54.txt,0.0,0.0,0.0,0.0,Chapter54.txt
Chapter133,11,Chapter133.txt,0.13584324086305594,0.5426190429541505,0.13584324086305594,0.19840160542683583,Chapter133.txt
Chapter116,2,Chapter116.txt,0.0030959752321981426,0.02786377708978328,0.0030959752321981426,0.004471964224286205,Chapter116.txt
Chapter18,6,Chapter18.txt,0.1083864639529181,0.3472530556408213,0.1083864639529181,0.1423530722089153,Chapter18.txt
Chapter28,5,Chapter28.txt,0.0012055455093429777,0.027124773960216998,0.0012055455093429777,0.001781528363806845,Chapter28.txt
Chapter46,4,Chapter46.txt,0.02280701754385965,0.252046783625731,0.02280701754385965,0.0333339828629994,Chapter46.txt
Epilogue,1,Epilogue.txt,0.7678571428571429,0.76940550945653,0.7678571428571429,0.7678010764745458,Epilogue.txt
